Code;Value;Date
736960;35,4;29.08.2023
736960;8,58;29.08.2023
749759;143,89;29.08.2023
757559;13,61;29.08.2023
757559;100,06;29.08.2023
736960;32,67;29.08.2023
754859;1364,79;29.08.2023
722762;27052,44;29.08.2023
757571;27,27;29.08.2023
736960;54,47;28.08.2023
736960;59,9;28.08.2023
749759;3,27;28.08.2023
736960;62,55;28.08.2023
750159;38,39;28.08.2023
750159;104,55;28.08.2023
749759;684,13;28.08.2023
736960;65,35;28.08.2023
738659;6177,05;28.08.2023
738659;332,69;28.08.2023
738659;356,29;28.08.2023
738659;49,38;28.08.2023
738659;376,95;28.08.2023
738659;58,67;28.08.2023
738659;356,22;28.08.2023
738659;49,45;28.08.2023
738659;207,37;28.08.2023
738659;18,61;28.08.2023
738659;55,03;28.08.2023
738659;18,48;28.08.2023
738659;207,19;28.08.2023
738659;18,79;28.08.2023
738659;624,48;28.08.2023
738659;83,4;28.08.2023
738659;5,45;28.08.2023
738659;94,65;28.08.2023
738659;1481,74;28.08.2023
738659;376,95;28.08.2023
738659;58,67;28.08.2023
747459;1214,45;28.08.2023
754759;5270,36;28.08.2023
754759;574,29;28.08.2023
754759;1946,18;28.08.2023
747459;909,56;28.08.2023
754759;1871,35;28.08.2023
747259;634,91;28.08.2023
747259;634,91;28.08.2023
733759;430,39;28.08.2023
735859;1298,68;28.08.2023
754759;417,8;28.08.2023
754759;280,15;28.08.2023
762759;20243,89;28.08.2023
747259;634,91;28.08.2023
735059;0,01;28.08.2023
735059;0,01;28.08.2023
735059;0,01;28.08.2023
735059;0,01;28.08.2023
735059;0,01;28.08.2023
735059;0,01;28.08.2023
749759;27,22;27.08.2023
749759;499,6;27.08.2023
749759;27,23;27.08.2023
749759;389,33;27.08.2023
736960;44,9;27.08.2023
736960;40,84;27.08.2023
747259;634,91;27.08.2023
731659;42,14;25.08.2023
757571;9,53;28.08.2023
757571;9,53;28.08.2023
757571;28,59;28.08.2023
757571;57,17;28.08.2023
757571;27,66;28.08.2023
757571;9,54;28.08.2023
757571;9,54;28.08.2023
757571;54,54;28.08.2023
736960;32,55;25.08.2023
749659;6,19;25.08.2023
749659;-31,46;25.08.2023
749659;21,76;25.08.2023
749759;20,37;25.08.2023
749759;9,21;25.08.2023
749759;132,69;25.08.2023
749759;85,05;25.08.2023
749759;132,69;25.08.2023
749759;38,43;25.08.2023
749759;132,69;25.08.2023
749759;53,6;25.08.2023
749759;132,69;25.08.2023
749759;38,43;25.08.2023
736960;34,03;25.08.2023
749759;74,29;25.08.2023
749759;74,27;25.08.2023
749759;74,29;25.08.2023
749759;74,29;25.08.2023
749759;74,29;25.08.2023
749759;74,29;25.08.2023
749759;74,3;25.08.2023
747259;634,91;25.08.2023
747259;634,91;25.08.2023
747259;634,91;25.08.2023
736960;30,57;24.08.2023
757559;9,61;24.08.2023
736960;32,68;24.08.2023
736960;35,39;24.08.2023
736960;36,77;24.08.2023
736960;34,58;24.08.2023
736960;38,79;24.08.2023
736960;25,59;24.08.2023
736960;0,27;24.08.2023
736960;0,27;24.08.2023
749659;8,73;24.08.2023
749659;5,23;24.08.2023
749659;4,66;24.08.2023
749659;6,13;24.08.2023
749759;33,38;24.08.2023
749759;21,75;24.08.2023
749759;2,18;24.08.2023
749759;29;24.08.2023
749759;33,49;24.08.2023
749759;148,21;24.08.2023
749759;19,85;24.08.2023
749759;162,33;24.08.2023
749759;33,72;24.08.2023
749759;44,92;24.08.2023
749759;981,5;24.08.2023
750159;7,87;24.08.2023
750159;114,9;24.08.2023
750159;45,74;24.08.2023
750159;26,14;24.08.2023
750159;20,69;24.08.2023
750159;25,59;24.08.2023
750159;79,37;24.08.2023
749759;31,04;24.08.2023
757559;28,81;24.08.2023
736960;81,71;24.08.2023
736960;54,47;24.08.2023
736960;56,36;24.08.2023
749759;0;24.08.2023
749759;0,01;24.08.2023
749759;0,33;24.08.2023
749759;0,28;24.08.2023
749759;5,57;24.08.2023
749759;0,14;24.08.2023
749759;0,01;24.08.2023
749759;0,06;24.08.2023
749759;1,14;24.08.2023
749659;68,33;24.08.2023
749659;12,29;24.08.2023
749759;44,92;24.08.2023
749759;336,49;24.08.2023
749759;33,65;24.08.2023
749759;93,85;24.08.2023
749759;336,49;24.08.2023
749759;33,65;24.08.2023
749759;31,72;24.08.2023
749759;891,65;24.08.2023
749759;35,09;24.08.2023
749759;52,77;24.08.2023
757559;68,07;24.08.2023
757559;11,43;24.08.2023
736960;66,78;24.08.2023
736960;66,16;24.08.2023
736960;62,63;24.08.2023
736960;62,91;24.08.2023
757559;83,72;24.08.2023
757571;9,53;25.08.2023
697659;2389,08;24.08.2023
697659;4076,55;24.08.2023
697659;15733,7;24.08.2023
697659;1177,47;24.08.2023
